,name1
23,لپ تاپ لنوو Lenovo IdeaPad Gaming 3 پردازنده Core i7 12700H رم 16GB حافظه 1TB+256GB SSD گرافیک 4GB RTX 3050TI – خاکستری ا Lenovo IdeaPad Gaming 3 I7 : 12700H - 16GB - 1TB+256GB SSD - 4GB RTX 3050TI
24,لپ تاپ اچ پی Victus 16 | 16GB RAM | 512GB SSD | i7 11800H | VGA 3050TI 4GB ا Laptop HP Victus 16
25,لپ تاپ لنوو Ideapad 3 | 4GB RAM | 1TB HDD | I3 1115G4 ا Lenovo Ideapad 3
26,لپ تاپ ایسوس ROG STRIX G513IM | 16GB RAM | 1TB SSD | Ryzen 7 |6GB VGA ا Asus  ROG STRIX G513IM
27,لپ تاپ لمسی ایسوس زنبوک ASUS ZENBOOK FLIP Q508UG R7 5700U 8GB 256GBSSD MX450 ا ASUS ZENBOOK FLIP15 Q508UG RYZEN7 5700U RAM8GB 256GBSSD MX450
28,لپ تاپ ایسوس ROG STRIX G513RC | 16GB RAM | 1TB SSD | Ryzen 7 6800H | VGA 3050 4GB ا Asus ROG STRIX G513RC
29,مک بوک پرو  MKGP3 | 16GB RAM | 512GB SSD ا Apple  MacBook  Pro 14 (2021) MKGP3
30,لپ تاپ  مک بوک ایر  MLY13 | 8GB RAM | 256GB SSD | M2 ا Laptop  Macbook Air MLY13
31,لپ‌تاپ ایسوس X543MA | 4GB RAM | 1TB HDD | N4020 ا ASUS  VivoBook  Max  X543MA  Z
32,لپ تاپ لنوو  IdeaPad 3 | 12GB RAM | 1TB HDD | 256GB SSD | i5 1135G7 | VGA Mx350 2GB ا Lenovo IdeaPad 3
33,لپ تاپ ایسوس FX507ZC | 16GB RAM | 1TB SSD | i7 | 4GB VGA ا ASUS    TUF  GAMING  FX507ZC
34,"لپ تاپ اپل 13.3 اینچی مدل Apple MacBook Pro 2022 MNEP3 پردازنده M2 رم 8GB حافظه 256GB SSD ا Apple MacBook Pro 2022 13.3"" MNEP3 M2 8GB 256GB SSD Laptop"
35,لپ تاپ ایسوس 15.6 اینچی مدل TUF Gaming A15 FA507RE پردازنده Ryzen 7 6800H رم 16GB حافظه 512GB SSD گرافیک 4GB 3050TI ا TUF Gaming A15 FA507RE Ryzen 7 6800H 16GB 512GB SSD 4GB RTX 3050TI Full HD Laptop
36,لپ تاپ ایسوس FX506HC  | 16GB RAM | 1TB SSD | i5 | 4GB VGA ا Laptop ASUS FX506HC
37,لپ تاپ ایسوس 15.6 اینچی مدل VivoBook K6500ZH پردازنده Core i5 12500H رم 8GB حافظه 512GB SSD گرافیک 4GB GTX1650 ا VivoBook K6500ZH Core i5 12500H 8GB 512GB SSD 4GB GTX1650 FHD Laptop
38,لپ تاپ اپل 16 اینچ مدل 2023 MacBook Pro M2 Pro MNW83 ا MacBook Pro MNW83 2023 - M2 Pro - 16GB - 512GB - 16 inch Laptop
39,لپ تاپ اچ‌ پی Victus 15 | 16GB RAM | 1TB SSD | i5 12500H | VGA 3050 4GB ا HP Victus15
40,لپ تاپ اچ پی Victus 16 | 16GB RAM | 512GB SSD | i7 | 6GB VGA ا Laptop HP Victus 16
41,لپ تاپ ایسوس مدل R565EP | 8GB RAM | 512GB HDD | I5 | 2GB VGA ا VivoBook R565EP  Laptop
42,لپ تاپ گیمینگ ایسوس راگ ROG Strix G16 G614JI i9 13980HX RTX4070 140W 16G 1T 2023
43,لپ تاپ ایسوس FX517ZR | 16GB RAM | 1TB SSD | i7 | 8GB VGA ا ASUS TUF Dash F15 FX517ZR
44,لپ تاپ لنوو  16GB RAM | 512GB SSD | 2GB VGA | i7 | IdeaPad 5 ا Lenovo IdeaPad 5
45,لپ تاپ ایسوس TUF Gaming F15 FX506HC | 16GB RAM | 512GB SSD | i5 | 4GB VGA ا Asus TUF Gaming F15 FX506HC
46,لپ تاب ایسوس 15.6 اینچی مدل VivoBook 15 R1502ZA-BQ708 ا Asus VivoBook 15 R1502ZA-BQ708 - i7 - 8GB - 512GB - Iris - 15.6 inch FHD Laptop
47,لپ تاپ  لنوو  Ideapad 3 | 8GB RAM | 1TB HDD | 256GB SSD | I3 1115G4 ا Lenovo  Ideapad 3
48,لپ تاپ ایسر Nitro 5 AN515 | 16GB RAM | 512GB SSD | i7 12700H | VGA 3050 4GB ا Acer AN515 Laptop
49,لپ تاپ ایسوس G513RM | 16GB RAM | 1TB SSD | Ryzen 7 6800H | VGA 3060 6GB ا Laptop Asus G513RM
50,لپ تاپ لنوو IdeaPad 3-QE | 4GB RAM | 1TB HDD | 256GB SSD | N4020 ا Lenovo  IdeaPad  3  QE
51,لپ تاپ  مایکروسافت 16GB RAM | 512GB SSD | 6G VGA | i7 | Surface Book 2 ا Microsoft Surface Book 2 | 15 inch | Core i7 | 16GB | 512GB | 6GB
52,لپ تاپ لنوو  16GB RAM | 512GB SSD | i7 | ThinkPad X1 ا Lenovo ThinkPad X1 Carbon
53,لپ تاپ اپل 16 اینچ مدل Mac Book Pro 16inch MK183 پردازنده M1 Pro رم 16GB حافظه 512GB SSD ا Apple MacBook Pro 16‑inch MK183 M1 Pro 16GB 512GB SSD Laptop
54,لپ تاپ  ایسوس  R565JP  | 16GB RAM | 1TB HDD | I7 1065G7 | VGA Mx330 2GB ا ASUS VivoBook R565JP
55,i5(1135G7) 8GB 512GB SSD Intel Huawei MateBook B3-520 ا لپ تاپ هوآوی MateBook B3-520 i5
56,لپ تاپ ایسوس FX506LH | 16GB RAM | 512GB SSD | i5 | 4GB VGA ا Laptop Asus  FX506LH
57,لپ تاپ لنوو Legion 5 | 16GB RAM | 1TB SSD | i7 12700H | VGA 3070 8GB ا Lenovo Legion 5
58,لپ تاپ لنوو Legion 5 Pro | 32GB RAM | 1TB SSD | i7 12700H | VGA 3060 6GB ا Lenovo  Legion 5 Pro
59,لپ تاپ ایسوس مدل VivoBook R465FA | 4GB RAM | 1TB HDD | I3 ا ASUS  VivoBook R465FA
60,لپ تاپ  ایسوس K513EQ | 8GB RAM | 512GB SSD | i5 | 2GB VGA ا ASUS  VivoBook  K513EQ
61,"لپ تاپ اپل 13.3 اینچی مدل Apple MacBook Pro 2022 MNEJ3 پردازنده M2 رم 8GB حافظه 512GB SSD ا Apple MacBook Pro 2022 13.3"" MNEJ3 M2 8GB 512GB SSD Laptop"
62,لپ تاپ لنوو IdeaPad 3 | 8GB RAM | 1TB HDD | 512GB SSD | i5 1235U ا LENOVO IdeaPad 3
63,لپ تاپ ایسر 8GB RAM | 1TB | VGA Mx350 2GB | i5 1135G7 | A315 ا Acer Aspire 3 A315
64,لپ تاپ سرفیس پرو 4 مایکروسافت core i7 رم 8 هارد 256 SSD
65,لپ تاپ ایسوس 15.6 اینچی مدل E510MA پردازنده N4020 رم 4GB حافظه 512GB SSD گرافیک Intel ا E510MA N4020 4GB 512GB SSD Intel HD Laptop
66,لپ تاپ ایسوس 16GB RAM | 512GB SSD | i7 | 6GB VGA TUF F15 FX516PM ا TUF F15 FX516PM
67,لپ تاپ لنوو IdeaPad 3 | 12GB RAM | 1TB HDD | 512GB SSD | I5 1135G7 | VGA Mx350 2GB ا Lenovo ideapad 3
68,لپ تاپ ام اس آی 15.6 اینچی مدل Katana 15 B12VGK ا MSI Katana 15 B12VGK i7-12650H 16 GB DDR5 1TB SSD 8GB RTX 4070 s 15.6inch FHD
69,لپ تاپ 16 اینچ لنوو Legion 5 Pro-GA Core i7 12700H/1TB SSD/32GB/RTX3070 8GB ا Lenovo Legion 5 Pro-GA Core i7 12700H/1TB SSD/32GB/RTX3070 8GB 16 Inch Laptop
70,لپ تاپ لنوو ThinkBook 15 | 12GB RAM | 1TB HDD | 512GB SSD | i3 | ا Lenovo ThinkBook 15 FX
71,لپ تاپ ایسوس T3300KA-LQ029W | 8GB RAM | 256GB SSD | PENTIUM N6000 ا VivoBook T3300KA LQ029W
72,لپ تاپ 13.6 اینچ اپل مدل MacBook Air-MLXW3 M2 2022 LLA ا MacBook Air-MLXW3 M2 2022 LLA
73,لپ تاپ DELL مدل XPS 13 9310Core i7-16-1TB SSD
74,Asus TUF FX517ZR i7 12650H 32 1SSD 8 3070 FHD ا لپ تاپ ایسوس FX517 ZR
75,لپ تاپ ایسوس  | 16GB RAM | 1TB SSD | i7 | 8GB VGA | FX507ZR ا Laptop ASUS FX507ZR
76,لپ تاپ لنوو لاک LENOVO LOQ-15IRH8 I7(13620H) 16GB 512SSD 6(4050)
77,لپ تاپ مایکروسافت 8GB RAM | 256GB SSD | i5 | SurfaceBook 3 ا Laptop Surface Book 3 13 inch
78,لپ تاپ مایکروسافت Surface Go | 4GB RAM | 64GB SSD | i5 ا Laptop Microsoft Surface Go
79,لپ تاپ اچ‌پی مدل Pavilion x360   | 8GB RAM | 512GB SSD | I5 Convertible 14t DY000 - AN ا Pavilion x360 Convertible 14t DY000 - AN
80,لپ تاپ ایسوس FX507ZC | 16GB RAM | 512GB SSD | i7 | 4GB VGA ا ASUS TUF GAMING FX507ZC
81,لپ تاپ  لنوو IdeaPad 3 | 12GB RAM | 1TB  | I5 1135G7 | VGA Mx350 2GB ا Laptop Lenovo IdeaPad 3
82,لپ تاپ ایسوس 15.6 اینچی مدل VivoBook Pro M6500QH پردازنده Ryzen 5 5600H رم 8GB حافظه 512GB SSD گرافیک 4GB 1650 ا Asus VivoBook Pro M6500QH Ryzen 5 5600H 8GB 512GB SSD 4GB GTX 1650 FHD Laptop
83,مک بوک ایر 8GB RAM | 256GB SSD | M1 | MGND3 ا MacBook Air MGND3
84,لپ تاپ 15.6 اینچی گیمینگ ایسوس مدل TUF507ZC4-BA ا Gaming F15 TUF507ZC4 i5 12500H 16G 512SSD 4G 3050 FHD WIN11 Laptop
85,لپ تاپ لنوو  IdeaPad3 | 12GB RAM | 512GB SSD | 1TB HDD | i3 ا Lenovo Ideapad 3
86,لپ تاپ اپل  MK193 | 16GB RAM | 1TB SSD | M1 PRO ا Apple MK193
87,لپ تاپ  ایسوس G533ZW | 16GB RAM | 1TB SSD | i9 12900H | VGA 3070TI 8GB ا ASUS  G533ZW
88,لپ تاپ  لنوو 4GB RAM | 128GB SSD | Celeron | IdeaPad 1 ا Lenovo IdeaPad 1
89,لپ تاپ نظامی دل مدل Dell Latitude 14 5414 Rugged
90,مک بوک پرو  8GB RAM | 256GB SSD | M1 | MYD82 ا MacBook Pro MYD82
91,لپ تاپ ایسوس X515EP | 8GB RAM | 512GB SSD | i7 1165G7 | VGA Mx330 2GB ا VivoBook X515EP
92,لپ تاپ لنوو V15 | 8GB RAM | 256GB SSD | i3 | 2GB VGA ا Laptop Lenovo V15
93,لپ تاپ اچ پی مدل hp ZBook G4 Studio ا hp zbook g4
94,لپ تاپ ایسوس 15.6 اینچی مدل G533ZM پردازنده Core i9 12900H رم 16GB حافظه 1TB SSD گرافیک 6GB RTX 3060 ا ROG Strix SCAR 15 G533ZM Core i9 12900H 16GB 1TB SSD 6GB RTX 3060 QHD Laptop
95,لپ تاپ ایسوس 15.6 اینچی مدل VivoBook R565EP پردازنده Core i7 1165G7 رم 16GB حافظه 512GB SSD گرافیک 2GB ا VivoBook R565EP Core i7 1165G7 16GB 512GB SSD 2GB Full HD Laptop
96,لپ تاپ ایسوس FX517ZE | 16GB RAM | 512GB SSD | i7 12650H | 3050TI 4GB VGA ا Laptop Asus FX517ZE
97,لپ تاپ لنوو  8GB RAM | 1TB HDD | 2GB VGA | i7 |  IdeaPad 3 ا Lenovo IdeaPad 3
98,لپ تاپ سونی مدل وایو VAIO SE14 i5 1135G7 8GB 512GB SSD Iris Xe
99,لپ تاپ ایسوس 15.6 اینچی مدل X515JP پردازنده Core i7 1065G7 رم 16GB حافظه 512GB SSD گرافیک 2GB MX330 ا X515JP Core i7 1065G7 16GB 512GB SSD 2GB MX330 FHD Laptop
100,لپ تاپ سامسونگ 730QDA-COREi7
101,لپ تاپ ایسوس R1605ZA | 8GB RAM | 512GB SSD | I7 1255U ا ASUS VivoBook R1605ZA
102,لپ تاپ ایسر 16GB RAM | 1TB SSD | VGA 3050 4GB | i7 12700H | AN515 ا Acer Nitro 5 AN515
103,لپ تاپ 15.6 اینچی اچ پی مدل Victus 15-FA0032DX پردازنده Core i7 رم 16GB حافظه 512GB SSD گرافیک 4GB ا HP Victus 15-FA0032DX Core i7 12650H 16GB 512GB SSD 4GB FULL HD Laptop
104,لپ تاپ لنوو  Ideapad 3 | 16GB RAM | 1TB HDD | 256GB SSD | I7 | 4GB VGA ا Lenovo IdeaPad 3
105,لپ تاپ لنوو Legion 5 Pro  | 16GB RAM | 512GB SSD | i7 | 4GB VGA ا Laptop Lenovo Legion 5 Pro
106,لپ تاپ اپل MGN93  | 8GB RAM | 256GB SSD | M1 ا MacBook Air MGN93
107,لپ تاپ مایکروسافت 16GB RAM | 256GB SSD | 6GB VGA | i7 | Surface Book 3 ا Laptop Surface book 3
108,لپ تاپ لنوو  Ideapad 5 | 16GB RAM | 1TB SSD | i7 | 2GB VGA ا Lenovo Ideapad 5
109,لپ تاپ لنوو  Ideapad 3 | 4GB RAM | 256GB SSD | i3 | ا Laptop Lenovo Ideapad 3
110,Asus ZenBook UM535QE Ryzen 7 5800H 16 1SSD 4 3050Ti OLED FHD Touch ا لپ تاپ ایسوس UM535QE
111,لپ تاپ ایسوس ROG STRIX G513RM | 16GB RAM | 1TB SSD | Ryzen 9 6900HX | VGA 3060 6GB ا Asus ROG STRIX G513RM
112,مک بوک پرو 16 اینچ M2 Pro مدل MNW93 سال 2023 – M2 Pro/16GB/1T رنگ Gray
113,لپ تاپ ایسر Nitro 5 | 16GB RAM | 512GB SSD | i7 12700H | VGA 3060 6GB ا Acer  Nitro 5
114,لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Midnight MLY43  پردازنده M2 رم 8GB حافظه 512GB SSD گرافیک 10Core GPU ا Apple MacBook Air 2022 Midnight MLY43 M2 8GB 512GB SSD 10-Core GPU 13.6 inch Laptop
115,لپ تاپ ایسوس 16GB RAM | 512GB SSD | i7 | 6GB F15 FX507ZM ا Laptop Asus TUF Gaming F15 FX507ZM
116,لپ تاپ 15.6 اینچی لنوو مدل Legion 5 15ACH6-A
117,لپ تاپ اچ پی 15.6 اینچی مدل Victus 15-FA0031DX پردازنده Core i5 رم 32GB حافظه 1TB SSD گرافیک 4GB ا HP Victus 15-FA0031DX Core i5 12450H 32GB 1TB SSD 4GB 1650 FHD Laptop
118,لپ تاپ لنوو V15 | 4GB RAM | 256GB SSD | i3 | 2GB VGA ا Laptop Lenovo V15
119,لپ تاپ ام اس ای MSI KATANA B13VFK i7(13620H) 16 1 8 4060
120,لپ‌ تاپ 15.6 اینچی ایسوس مدل Asus Vivobook Go E510MA-BR583 N4020-4GB-256GB
121,لپ تاپ ایسوس مدل  TP1401KA-EC021 | 4GB RAM | 256GB SSD | N4500 ا VivoBook TP1401KA-EC021
122,لپ تاپ ایسوس 16 اینچی مدل VivoBook M1603QA پردازنده Ryzen 7 رم 16GB حافظه 512GB SSD گرافیک 8RX ا VivoBook M1603QA Ryzen 7 5800H 16GB 512GB SSD 8RX VEGA Full HD Laptop
123,"لپ تاپ Dell Precision 5510 i7-6820HQ,16GB RAM,512GB SSD,2GB Quadro M1000m,15.6″ FHD"
124,لپ تاپ  ایسوس FX507ZE | 16GB RAM | 1TB SSD | i7 | 4GB VGA ا ASUS TUF Gaming FX507ZE
125,لپ تاپ گیمینگ ریزر مدل Razer Blade 18 2023 i9-13950HX RTX 4090 32GB 2TB 2K 240HZ
126,لپ تاپ ایسوس 13.4 اینچی مدل ROG FLOW GV301RE پردازنده Ryzen 9 6900HS رم 16GB حافظه 1TB SSD گرافیک 4GB 3050TI ا ROG FLOW GV301RE Ryzen 9 6900HS 16GB 1TB SSD 4GB RTX 3050TI Full HD Laptop
127,LAPTOP MSI GF63(12VE) i7-12650H/16GB/512GB SSD/6GB
128,لپ تاپ ایسوس M6500QC  | 16GB RAM | 1TB SSD | Ryzen 7 5800H | VGA 3050 4GB ا Asus Vivobook Pro M6500QC
129,لپ تاپ 15.6 اینچی لنوو مدل Ideapad 3 15IGL05-XC ا Ideapad 3 Celeron N4020 4G 1T+512S Intel FHD Laptop
130,لپ تاپ ایسوس FX517ZM | 16GB RAM | 1TB SSD | i7 | 6GB VGA ا ASUS TUF GAMING F17 FX517ZM
131,لپ تاپ لنوو IdeaPad 3 | 8GB RAM | 512GB SSD | i3 ا Lenovo IdeaPad 3
132,لپ تاپ 15.6 اینچی ایسوس مدل VivoBook K513EQ-BN779 I7 16GB 1TB SSD ا Vivobook 15 K513EQ i7 16GB 1TB SSD 2G MX350
133,لپ تاپ اچ پی    ZBook 15 G3 | 16G RAM |  512GB SSD  | i7 |  2G VGA ا HP ZBook 15 G3
134,لپ تاپ  ایسوس GU603ZM | 16GB RAM | 1TB SSD | i7 | 6GB VGA ا ROG  Zephyrus  M16  GU603ZM
135,لپ تاپ اپل 14 اینچ مدل 2023 Macbook Pro M2 Pro MPHF3 ا MacBook Pro MPHF3 2023 - M2 Pro - 16GB - 1TB 14 inch Laptop
136,MSI GF63 i5 10300H 8 256SSD 4 1650 MAX-Q FHD ا لپ تاپ ام اس آی GF63
137,لپ تاپ لنوو IdeaPad 3 | 12GB RAM | 512GB SSD | i7 1165G7 | VGA Mx450 2GB ا Lenovo Ideapad 3
138,لپ تاپ اچ پی 15.6 اینچی مدل Pavilion Gaming 15-ec2010 پردازنده Ryzen 5 5600H رم 8GB حافظه 512GB SSD گرافیک 4GB ا HP Pavilion Gaming 15-ec2010 Ryzen 5 5600H 8GB 512GB SSD 4GB 3050 FHD Laptop
139,لپ تاپ 15 اینچی دل مدل G15-5520-6821 I7 12700H/16G/512G S.S.D/RTX3060 6G
140,لپ تاپ لنوو Ideapad Gaming 3 | 16GB RAM | 1TB SSD | i7 | 4GB VGA ا Lenovo  Ideapad Gaming 3
141,لپ تاپ ایسوس  X515JP | 8GB RAM | 1TB HDD | i7 1065G7 | VGA Mx330 2GB ا Asus  VivoBook  X515JP
142,Lenovo ideapad 3
143,لپ تاپ اپل مدل MacBook Pro 2017
144,لپ تاپ  اچ پی  Pavilion X360 14T | 16GB RAM | 1TB SSD | i7 ا HP Pavilion X360  14 Inch Laptop
145,لپ تاپ گیمینگ ایسوس راگ ASUS ROG Flow Z13 GZ301ZC i7 12700H RTX3050 touch screen 2022
146,لپ تاپ ایسوس 15.6 اینچی مدل R1502ZA پردازنده Core i3 1215U رم 4GB حافظه 256GB SSD گرافیک Intel ا R1502ZA Core i3 1215U 4GB 256GB SSD Intel Full HD Laptop
147,لپ تاپ ایسوس FX517ZC-HN044 | 8GB RAM | 512GB SSD | i5 | 4GB VGA ا ASUS TUF FX517ZC-HN044
148,لپ تاپ گیمینگ ام اس ای مدل MSI Titan GT77HX 13VI 2023 i9-13980HX RTX4090 64GB 4T MiniLED 4K 144Hz
149,مک بوک پرو 16 اینچ M2 Max ظرفیت 96/1TB گیگ 12/38 هسته 2023 CTO
150,لپ تاپ لنوو V15 | 12GB RAM | 1TB HDD | 256GB SSD | Ryzen 5 ا Laptop Lenovo V15
151,لپ تاپ ایسوس M7600QE | 16GB RAM | 1TB SSD | Ryzen 7 5800H | VGA 3050TI 4GB ا ASUS Vivobook M7600QE
152,لپ تاپ سامسونگ Samsung Galaxy Book Pro 360-ارسال 15 الی 20 روز کاری ا Samsung Galaxy Book Pro 360 Intel Evo i7 with Windows 10 Home 15.6 Inch Touchscreen Laptop 16GB RAM 512GB Storage Mystic Navy (UK Version)
153,لپ تاپ ایسوس 15.6 اینچی مدل VivoBook K6500ZC-A پردازنده Core i7 12700H رم 16GB حافظه 1TB SSD گرافیک 4GB 3050 ا VivoBook K6500ZC-A Core i7 12700H 16GB 1TB SSD 4GB 3050 2.8K Laptop
154,لپ تاپ 15.6 اینچی ایسوس مدل VivoBook R1502Z-BQ613 ا Asus VivoBook R1502Z-BQ708- i5 1235U-8GB-512GB SSD-Intel Iris Up To 4GB-15.6 inch FHD laptop
155,اپ تاپ اچ پی مدل OMEN 16 | 32GB RAM | 1TB HDD | I7 | 8GB VGA ا HP OMEN 16 B0001
156,لپ تاپ ایسوس مدل ASUS FX517ZC-XA|i7 12650H-16GB-1TB SSD-4GB RTX 3050-Full HD 144Hz PACK
157,لپ تاپ مایکروسافت  16GB RAM | 256GB SSD | i7 | Surface 3 ا Laptop Surface 3
158,لپ تاپ مایکروسافت مدل Microsoft Surfacebook 1 – i5 8G 256GSSD 1G ا Microsoft SurfaceBOOK
159,لپ تاپ ام اس آی 15.6 اینچی مدل Thin GF63 12VE 8GB ا MSI Thin GF63 12VE Core i5 12450H 8GB DDR4 512GB SSD 6GB 4050 FHD 15.6inch
160,لپ تاپ 14 اینچی هوآوی مدل MateBook B3-420 ا HUAWEI MateBook B3-420 i5 1135G7 8G 512 SSD INTEL Iris Xe 14 inch Laptop
161,لپ تاپ 17.3 اینچی ایسوس مدل FX707ZC-HX052W I5 16G 512G SSD 4G RTX 3050 ا Asus i5 12500H-16GB-512GB SSD-4GB GeForce RTX 3050 -IPS 17.3 FHD Laptop
162,لپ تاپ ایسوس 13 اینچی مدل ZenBook 13 UX325EA پردازنده Core i5 رم 16GB حافظه 512GB SSD گرافیک Intel ا Asus ZenBook 13 UX325EA Core i5 1135G7 16GB 512GBB SSD Intel Full HD Laptop
163,لپ تاپ  اچ‌ پی VICTUS 16t | 16GB RAM | 1TB SSD | i7 | 6GB VGA ا VICTUS  16t  D000  A6
164,لپ تاپ ایسوس 15.6 اینچی مدل ZenBook Pro UX582ZM پردازنده Core i7 رم 16GB حافظه 1TB SSD گرافیک 6GB ا ZenBook Pro UX582ZM Core i7 12700H 16GB 1TB SSD 6GB 3060 4K OLED Laptop
165,لپ تاپ ایسوس E410MA | 4GB RAM | 256GB SSD | Celeron N4020 ا ASUS E410MA
166,لپ تاپ لنوو 15.6 اینچی مدل Ideapad Gaming 3 پردازنده Ryzen 7 5800H رم 16GB حافظه 1TB SSD گرافیک 4GB 3050 ا IdeaPad Gaming 3 Ryzen 7 5800H 16GB 1TB SSD 4GB 3050 Full HD Laptop
167,لپ تاپ اچ پی 15.6 اینچی مدل HP 255 G8 R5-A پردازنده Ryzen 5 5500U رم 8GB حافظه 512GB SSD گرافیک AMD ا HP 255 G8 R5-A Ryzen 5 5500U 8GB 512GB SSD AMD FHD Laptop
168,لپ تاپ ایسوس  FA507RE | 16GB RAM | 1TB SSD | Ryzen 7 6800H | VGA 3050TI 4GB ا Asus TUF FA507RE
169,لپ تاپ ایسوس 17.3 اینچی مدل ROG Strix G713RW پردازنده Ryzen 9 6900HX رم 16GB حافظه 1TB SSD گرافیک 8GB 3070Ti ا ROG Strix G713RW Ryzen 9 6900HX 16GB 1TB SSD 8GB RTX 3070Ti Full HD Laptop
170,"لپ تاپ دل 15.6 اینچی مدل Dell G15 5511 Gaming Laptop پردازنده Core i7 11800H رم 16GB حافظه 512GB SSD گرافیک 4GB ا Dell G15 5511 Gaming Laptop - 15.6 inch FHD 120Hz Display - Intel Core i7-11800H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce RTX 3050ti 4GBB"
171,لپ تاپ مایکروسافت 32GB RAM | 1TB SSD | i7 | Surface 4 ا Laptop Surface 4
172,لپ تاپ ایسر 15.6 اینچی مدل Nitro 5 AN515 پردازنده Core i9 11900H رم 16GB حافظه 512GB SSD گرافیک 6GB 3060 ا Nitro 5 AN515 Core i9 11900H 16GB 512GB SSD 6GB 3060 Full HD Laptop
173,لپ تاپ ایسوس 15.6 اینچی مدل ROG Strix G513RW پردازنده Ryzen 7 6800H رم 16GB حافظه 1TB SSD گرافیک 8GB 3070Ti ا ROG Strix G513RW Ryzen 7 6800H 16GB 1TB SSD 8GB RTX 3070Ti 2K Laptop
174,لپ تاپ اچ پی  ENVY x360 13M BD1033dx | 8GB RAM | 512GB SSD | i7 ا HP ENVY X360
175,لپ تاپ ایسوس 16 اینچی مدل VivoBook M1603QA پردازنده Ryzen 5 رم 8GB حافظه 512GB SSD گرافیک 4RX ا VivoBook M1603QA Ryzen 5 5600H 8GB 512GB SSD RX VEGA 7 Full HD Laptop
176,لپ تاپ دل ایکس پی اس 9560 15 اینچ با پردازنده i7 و صفحه نمایش لمسی 4K ا XPS 15 9560 Core i7 16GB 512GB SSD 4GB 4K Touch Laptop
